일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2019-05-01,서울(108),X,21.9,22.2,16.4,11.2,48.9,X, ,X,높음
2019-05-02,서울(108),X,22.2,25.3,17.1,10.6,28.5,X, ,X,높음
2019-05-03,서울(108),X,23.4,26.1,17.9,10.1,37.5,X, ,X,매우높음
2019-05-04,서울(108),X,25,27.4,19.5,12,40.4,X, ,X,높음
2019-05-05,서울(108),X,23.2,26.5,19.2,13.6,35.8,X, ,X,높음
2019-05-06,서울(108),X,16.9,19.8,14.5,9.8,27.1,X, ,X,높음
2019-05-07,서울(108),X,19.6,21.9,15,8.4,33.4,X, ,X,매우높음
2019-05-08,서울(108),X,20.2,21.3,15.6,10.1,48.3,X, ,X,매우높음
2019-05-09,서울(108),X,20.5,22.9,16.6,11.7,43.3,X, ,X,높음
2019-05-10,서울(108),X,24.9,26.8,17.8,10.3,48,X, ,X,높음
2019-05-11,서울(108),X,26.1,28.3,20.3,13.2,39,X, ,X,매우높음
2019-05-12,서울(108),X,26.4,28.9,21.6,14.7,36,X, ,X,매우높음
2019-05-13,서울(108),X,21.6,22.8,18.7,15.5,43.4,X, ,X,높음
2019-05-14,서울(108),X,24.8,26.9,19.6,12.9,44.5,X, ,X,높음
2019-05-15,서울(108),X,25.7,28,20.7,14.8,48.1,X, ,X,높음
2019-05-16,서울(108),X,27.8,30,23.5,16.7,43.8,X, ,X,매우높음
2019-05-17,서울(108),X,26.8,28.3,23.6,17.6,44.9,X, ,X,높음
2019-05-18,서울(108),X,25.2,25.9,22.8,19.1,46.8,X, ,X,높음
2019-05-19,서울(108),X,24.3,21.6,19.4,17.9,93,X, ,X,보통
2019-05-20,서울(108),X,23.2,20.2,16.4,13,63.6,X, ,X,높음
2019-05-21,서울(108),X,21.7,23.8,17.2,11.7,52,X, ,X,높음
2019-05-22,서울(108),X,23.6,26.5,19.5,12.3,46,X, ,X,매우높음
2019-05-23,서울(108),X,26.6,29.2,22.1,15,45,X, ,X,매우높음
2019-05-24,서울(108),X,31,33.4,24.2,16.2,46.4,X, ,X,매우높음
2019-05-25,서울(108),X,25.7,28.6,23.4,18.4,45.6,X, ,X,매우높음
2019-05-26,서울(108),X,28.1,31.1,24.5,18.6,39,X, ,X,매우높음
2019-05-27,서울(108),X,22.9,22.3,17.8,14.3,80.9,X, ,X,보통
2019-05-28,서울(108),X,22.5,24.6,18.1,11.9,45.9,X, ,X,매우높음
2019-05-29,서울(108),X,24.5,26.5,20.3,13.3,48.4,X, ,X,매우높음
2019-05-30,서울(108),X,23.3,24.5,19.6,14.6,48,X, ,X,높음
2019-05-31,서울(108),X,22.4,23.3,19.1,16.1,49.6,X, ,X,매우높음
2019-06-01,서울(108),X,23.4,23.7,18.9,14.8,60.5,X, ,X,높음
2019-06-02,서울(108),X,25.6,27.8,21.1,14.1,42.1,X, ,X,매우높음
2019-06-03,서울(108),X,27.9,29.5,23.1,16,42.9,X, ,X,매우높음
2019-06-04,서울(108),X,27.6,29,22.6,17.6,56.4,X, ,X,매우높음
2019-06-05,서울(108),X,29.1,29.6,23,17.8,63.8,X, ,X,매우높음
2019-06-06,서울(108),X,26,25.1,21.2,18.6,75.9,X, ,X,높음
2019-06-07,서울(108),X,25.2,24.7,20,17,77.3,X, ,X,보통
2019-06-08,서울(108),X,26.9,27.6,21.9,16,57.5,X, ,X,매우높음
2019-06-09,서울(108),X,26.7,26.5,21.6,17.1,66.1,X, ,X,높음
2019-06-10,서울(108),X,22.4,21.9,18.4,15.7,70.3,X, ,X,보통
2019-06-11,서울(108),X,24.9,26.1,20.5,15.5,51.1,X, ,X,매우높음
2019-06-12,서울(108),X,26.5,26.4,21.5,16.1,57.1,X, ,X,매우높음
2019-06-13,서울(108),X,27.5,28.8,23,16.6,51.9,X, ,X,매우높음
